week_end,BA_2_86,BA_5,BQ_1,BQ_1_1,EG_5,FL_1_5_1,HV_1,JN_1,JN_1_11_1,JN_1_7,KP_1_1,KP_2,KP_3,LB_1,Other,XBB,XBB_1_16,XBB_1_16_6,XBB_1_5,XBB_1_9_1,XBB_1_9_2,XBB_2_3
2024-04-27,,,,,,,,56.93,5.55,12.24,,6.62,,,18.66,,,,,,,
2024-05-04,,,,,,,,53.98,6.27,11.37,,7.88,,,20.51,,,,,,,
2024-05-11,,,,,,,,46.69,7.53,8.37,,14.22,6.68,,16.51,,,,,,,
2024-05-18,,,,,,,,44.71,8.61,6.33,,14.31,9.15,5.1,11.79,,,,,,,
2024-05-25,,,,,,,,40.94,8.87,,,16.88,10.38,,22.94,,,,,,,
2024-06-01,,,,,,,,36.08,8.91,,5.13,20.07,13.01,6.46,10.35,,,,,,,
2024-06-08,,,,,,,,31.66,8.0,,,22.46,16.06,7.68,14.13,,,,,,,
2024-06-15,,,,,,,,29.11,9.42,,6.23,21.97,17.86,7.27,8.14,,,,,,,
2024-06-22,,,,,,,,25.53,9.77,,5.68,23.65,19.0,12.06,4.31,,,,,,,
2024-06-29,,,,,,,,24.21,6.33,,6.4,22.51,22.52,14.18,3.86,,,,,,,
2024-07-06,,,,,,,,21.44,6.22,,6.29,22.06,25.55,13.91,4.52,,,,,,,
2024-07-13,,,,,,,,22.88,8.5,,,17.72,25.65,15.4,9.85,,,,,,,
2024-07-20,,,,,,,,16.71,5.56,,5.71,27.76,21.51,17.19,5.57,,,,,,,
2024-07-27,,,,,,,,16.3,,,5.07,29.12,27.26,16.28,5.97,,,,,,,
