,other
2023-08-01,0.009058
2023-08-02,0.009141
2023-08-03,0.009223
2023-08-04,0.009301
2023-08-05,0.009375
2023-08-06,0.009444
2023-08-07,0.009508
2023-08-08,0.009565
2023-08-09,0.009616
2023-08-10,0.009659
2023-08-11,0.009694
2023-08-12,0.00972
2023-08-13,0.009736
2023-08-14,0.009741
2023-08-15,0.009704
2023-08-16,0.009599
2023-08-17,0.009438
2023-08-18,0.009233
2023-08-19,0.008994
2023-08-20,0.008732
2023-08-21,0.008459
2023-08-22,0.008187
2023-08-23,0.007925
2023-08-24,0.007686
2023-08-25,0.00748
2023-08-26,0.00732
2023-08-27,0.007215
2023-08-28,0.007178
2023-08-29,0.007181
2023-08-30,0.00719
2023-08-31,0.007206
2023-09-01,0.007227
2023-09-02,0.007253
2023-09-03,0.007284
2023-09-04,0.007321
2023-09-05,0.007362
2023-09-06,0.007407
2023-09-07,0.007457
2023-09-08,0.00751
2023-09-09,0.007567
2023-09-10,0.007627
2023-09-11,0.00769
2023-09-12,0.007782
2023-09-13,0.007923
2023-09-14,0.008109
2023-09-15,0.008334
2023-09-16,0.008593
2023-09-17,0.008879
2023-09-18,0.009189
2023-09-19,0.009516
2023-09-20,0.009854
2023-09-21,0.010199
2023-09-22,0.010546
2023-09-23,0.010887
2023-09-24,0.011219
2023-09-25,0.011536
2023-09-26,0.011871
2023-09-27,0.012256
2023-09-28,0.012679
2023-09-29,0.013128
2023-09-30,0.01359
2023-10-01,0.014054
2023-10-02,0.014508
2023-10-03,0.01494
2023-10-04,0.015338
2023-10-05,0.015691
2023-10-06,0.015986
2023-10-07,0.016211
2023-10-08,0.016355
2023-10-09,0.016406
2023-10-10,0.016387
2023-10-11,0.016335
2023-10-12,0.016255
2023-10-13,0.016152
2023-10-14,0.016032
2023-10-15,0.015902
2023-10-16,0.015765
2023-10-17,0.015629
2023-10-18,0.015498
2023-10-19,0.015378
2023-10-20,0.015276
2023-10-21,0.015195
2023-10-22,0.015143
2023-10-23,0.015124
2023-10-24,0.015154
2023-10-25,0.015238
2023-10-26,0.015366
2023-10-27,0.015531
2023-10-28,0.015722
2023-10-29,0.015931
2023-10-30,0.01615
2023-10-31,0.016368
2023-11-01,0.016577
2023-11-02,0.016769
2023-11-03,0.016933
2023-11-04,0.017061
2023-11-05,0.017145
2023-11-06,0.017175
2023-11-07,0.01713
2023-11-08,0.017005
2023-11-09,0.016812
2023-11-10,0.016565
2023-11-11,0.016278
2023-11-12,0.015964
2023-11-13,0.015637
2023-11-14,0.01531
2023-11-15,0.014996
2023-11-16,0.014709
2023-11-17,0.014462
2023-11-18,0.014269
2023-11-19,0.014144
2023-11-20,0.014099
2023-11-21,0.014144
2023-11-22,0.014269
2023-11-23,0.014462
2023-11-24,0.014709
2023-11-25,0.014996
2023-11-26,0.01531
2023-11-27,0.015637
2023-11-28,0.015964
2023-11-29,0.016278
2023-11-30,0.016565
2023-12-01,0.016812
2023-12-02,0.017005
2023-12-03,0.01713
2023-12-04,0.017175
2023-12-05,0.017166
2023-12-06,0.01714
2023-12-07,0.017098
2023-12-08,0.017044
2023-12-09,0.016977
2023-12-10,0.016901
2023-12-11,0.016816
2023-12-12,0.016725
2023-12-13,0.01663
2023-12-14,0.016532
2023-12-15,0.016434
2023-12-16,0.016336
2023-12-17,0.01624
2023-12-18,0.01615
2023-12-19,0.016052
2023-12-20,0.015935
2023-12-21,0.015805
2023-12-22,0.015665
2023-12-23,0.01552
2023-12-24,0.015372
2023-12-25,0.015227
2023-12-26,0.015088
2023-12-27,0.014959
2023-12-28,0.014845
2023-12-29,0.014749
2023-12-30,0.014675
2023-12-31,0.014628
2024-01-01,0.014612
2024-01-02,0.014615
2024-01-03,0.014625
2024-01-04,0.014641
2024-01-05,0.014663
2024-01-06,0.014691
2024-01-07,0.014724
2024-01-08,0.014761
2024-01-09,0.014803
2024-01-10,0.014849
2024-01-11,0.014898
2024-01-12,0.014951
2024-01-13,0.015006
2024-01-14,0.015064
2024-01-15,0.015124
2024-01-16,0.015198
2024-01-17,0.015296
2024-01-18,0.015417
2024-01-19,0.015558
2024-01-20,0.015718
2024-01-21,0.015894
2024-01-22,0.016086
2024-01-23,0.01629
2024-01-24,0.016506
2024-01-25,0.016731
2024-01-26,0.016964
2024-01-27,0.017202
2024-01-28,0.017444
2024-01-29,0.017688
2024-01-30,0.017973
2024-01-31,0.018331
2024-02-01,0.018745
2024-02-02,0.019202
2024-02-03,0.019687
2024-02-04,0.020184
2024-02-05,0.020678
2024-02-06,0.021156
2024-02-07,0.0216
2024-02-08,0.021998
2024-02-09,0.022333
2024-02-10,0.02259
2024-02-11,0.022756
2024-02-12,0.022815
2024-02-13,0.022781
2024-02-14,0.022687
2024-02-15,0.022542
2024-02-16,0.022357
2024-02-17,0.022142
2024-02-18,0.021907
2024-02-19,0.021661
2024-02-20,0.021416
2024-02-21,0.02118
2024-02-22,0.020965
2024-02-23,0.02078
2024-02-24,0.020635
2024-02-25,0.020541
2024-02-26,0.020508
2024-02-27,0.020536
2024-02-28,0.020617
2024-02-29,0.020748
2024-03-01,0.020923
2024-03-02,0.021137
2024-03-03,0.021386
2024-03-04,0.021666
2024-03-05,0.021972
2024-03-06,0.0223
2024-03-07,0.022644
2024-03-08,0.023
2024-03-09,0.023364
2024-03-10,0.023731
2024-03-11,0.024096
2024-03-12,0.024537
2024-03-13,0.025113
2024-03-14,0.025798
2024-03-15,0.026565
2024-03-16,0.027388
2024-03-17,0.028238
2024-03-18,0.02909
2024-03-19,0.029915
2024-03-20,0.030688
2024-03-21,0.031381
2024-03-22,0.031966
2024-03-23,0.032418
2024-03-24,0.032709
2024-03-25,0.032812
2024-03-26,0.03273
2024-03-27,0.0325
2024-03-28,0.032146
2024-03-29,0.031694
2024-03-30,0.031168
2024-03-31,0.030592
2024-04-01,0.029992
2024-04-02,0.029392
2024-04-03,0.028817
2024-04-04,0.028291
2024-04-05,0.027838
2024-04-06,0.027485
2024-04-07,0.027255
2024-04-08,0.027173
2024-04-09,0.027207
2024-04-10,0.027309
2024-04-11,0.027473
2024-04-12,0.027694
2024-04-13,0.027968
2024-04-14,0.02829
2024-04-15,0.028656
2024-04-16,0.029061
2024-04-17,0.029499
2024-04-18,0.029968
2024-04-19,0.030461
2024-04-20,0.030974
2024-04-21,0.031503
2024-04-22,0.032043
2024-04-23,0.032766
2024-04-24,0.033808
2024-04-25,0.035109
2024-04-26,0.036609
2024-04-27,0.038249
2024-04-28,0.039969
2024-04-29,0.04171
2024-04-30,0.043413
2024-05-01,0.045017
2024-05-02,0.046463
2024-05-03,0.047691
2024-05-04,0.048642
2024-05-05,0.049256
2024-05-06,0.049474
2024-05-07,0.049325
2024-05-08,0.048901
2024-05-09,0.048238
2024-05-10,0.047372
2024-05-11,0.046338
2024-05-12,0.045171
2024-05-13,0.043909
2024-05-14,0.042586
2024-05-15,0.041238
2024-05-16,0.039901
2024-05-17,0.038611
2024-05-18,0.037403
2024-05-19,0.036312
2024-05-20,0.035376
2024-05-21,0.034516
2024-05-22,0.033639
2024-05-23,0.032754
2024-05-24,0.03187
2024-05-25,0.030996
2024-05-26,0.030143
2024-05-27,0.029317
2024-05-28,0.02853
2024-05-29,0.027791
2024-05-30,0.027107
2024-05-31,0.026489
2024-06-01,0.025946
2024-06-02,0.025487
2024-06-03,0.025122
2024-06-04,0.024819
2024-06-05,0.02454
2024-06-06,0.024283
2024-06-07,0.024046
2024-06-08,0.023827
2024-06-09,0.023623
2024-06-10,0.023433
2024-06-11,0.023254
2024-06-12,0.023085
2024-06-13,0.022923
2024-06-14,0.022765
2024-06-15,0.022611
2024-06-16,0.022457
2024-06-17,0.022302
2024-06-18,0.022154
2024-06-19,0.022021
2024-06-20,0.0219
2024-06-21,0.021789
2024-06-22,0.021683
2024-06-23,0.02158
2024-06-24,0.021478
2024-06-25,0.021372
2024-06-26,0.021261
2024-06-27,0.02114
2024-06-28,0.021008
2024-06-29,0.02086
2024-06-30,0.020694
2024-07-01,0.020508
2024-07-02,0.020286
2024-07-03,0.020021
2024-07-04,0.019714
2024-07-05,0.019369
2024-07-06,0.018987
2024-07-07,0.018572
2024-07-08,0.018126
2024-07-09,0.017651
2024-07-10,0.017151
2024-07-11,0.016627
2024-07-12,0.016084
2024-07-13,0.015522
2024-07-14,0.014945
2024-07-15,0.014355
