,weight
Region 1,0.04483542
Region 2,0.09484116
Region 3,0.09268459
Region 4,0.20569525
Region 5,0.1564056
Region 6,0.13105673
Region 7,0.04235792
Region 8,0.03760628
Region 9,0.15091022
Region 10,0.04360684
