date,California,Colorado,Connecticut,Georgia,Maryland,Michigan,Minnesota,New York,Ohio,Oregon,Tennessee
2015-10-10,38.97,11.76,7.23,11.03,12.36,10.04,2.87,9.79,11.79,4.23,7.13
2015-10-17,38.97,2.94,3.62,11.03,12.36,10.04,5.74,9.79,11.79,4.23,7.13
2015-10-24,38.97,5.88,3.62,11.03,6.18,10.04,11.48,9.79,11.79,4.23,7.13
2015-10-31,38.97,5.88,3.62,11.03,6.18,20.07,5.74,9.79,5.89,2.12,7.13
2015-11-07,38.97,5.88,3.62,11.03,12.36,20.07,5.74,19.57,11.79,4.23,14.25
2015-11-14,38.97,5.88,3.62,11.03,12.36,10.04,5.74,39.14,23.57,8.47,7.13
2015-11-21,38.97,5.88,3.62,11.03,12.36,20.07,5.74,19.57,11.79,4.23,7.13
2015-11-28,38.97,5.88,3.62,11.03,6.18,20.07,2.87,39.14,11.79,2.12,7.13
2015-12-05,77.93,2.94,7.23,11.03,12.36,5.02,5.74,9.79,5.89,4.23,7.13
2015-12-12,116.9,11.76,7.23,11.03,6.18,10.04,5.74,9.79,23.57,4.23,7.13
2015-12-19,38.97,11.76,3.62,11.03,18.54,20.07,5.74,39.14,5.89,4.23,7.13
2015-12-26,155.86,17.63,32.55,11.03,12.36,10.04,11.48,39.14,11.79,4.23,7.13
2016-01-02,116.9,35.27,10.85,11.03,12.36,20.07,11.48,9.79,11.79,4.23,7.13
2016-01-09,389.65,29.39,14.47,11.03,37.08,10.04,11.48,19.57,11.79,8.47,14.25
2016-01-16,311.72,23.51,18.09,11.03,6.18,5.02,17.21,58.71,11.79,12.7,7.13
2016-01-23,194.83,29.39,36.17,22.06,18.54,20.07,17.21,78.28,11.79,25.4,14.25
2016-01-30,389.65,47.02,47.02,22.06,12.36,60.22,22.95,97.86,11.79,29.63,21.38
2016-02-06,467.58,47.02,61.49,44.12,24.72,70.26,57.38,176.14,58.93,42.33,21.38
2016-02-13,740.34,70.53,61.49,66.18,37.08,100.37,57.38,234.85,23.57,63.5,49.89
2016-02-20,779.3,111.67,83.2,143.38,86.52,250.93,137.71,469.71,129.65,63.5,99.77
2016-02-27,818.27,117.55,177.24,176.47,123.61,291.08,200.83,626.28,176.79,33.87,106.9
2016-03-05,935.16,199.84,202.56,198.53,185.41,210.78,269.68,900.28,259.29,105.83,121.15
2016-03-12,896.2,246.86,329.16,242.64,302.83,271.01,309.85,1448.27,436.08,97.37,199.54
2016-03-19,779.3,205.72,238.73,198.53,247.21,170.63,189.35,1585.27,294.65,101.6,121.15
2016-03-26,623.44,188.08,220.65,121.32,197.77,110.41,126.23,1526.55,212.15,101.6,171.04
2016-04-02,506.55,170.45,184.48,88.23,148.33,190.71,114.76,1330.84,165.0,118.53,78.39
2016-04-09,467.58,123.43,130.22,77.2,105.06,80.3,74.59,900.28,94.29,93.13,106.9
2016-04-16,272.76,76.41,119.37,77.2,135.97,100.37,63.12,508.85,141.43,55.03,92.64
2016-04-23,155.86,47.02,75.96,88.23,105.06,100.37,34.43,430.57,141.43,76.2,78.39
2016-04-30,233.79,23.51,36.17,22.06,105.06,80.3,22.95,391.42,106.07,33.87,42.76
2016-05-07,19.48,2.94,3.62,5.51,12.36,10.04,5.74,39.14,5.89,2.12,7.13
2016-05-14,19.48,2.94,3.62,22.06,3.09,20.07,5.74,39.14,11.79,2.12,7.13
2016-05-21,19.48,5.88,1.81,11.03,12.36,10.04,5.74,19.57,11.79,4.23,7.13
2016-05-28,19.48,5.88,1.81,11.03,6.18,10.04,2.87,39.14,11.79,2.12,7.13
2016-06-04,77.93,11.76,3.62,11.03,6.18,5.02,5.74,19.57,11.79,8.47,14.25
2016-06-11,38.97,2.94,1.81,22.06,6.18,10.04,11.48,9.79,11.79,8.47,7.13
2016-06-18,19.48,11.76,7.23,22.06,6.18,20.07,5.74,9.79,5.89,4.23,3.56
2016-06-25,77.93,11.76,3.62,11.03,6.18,5.02,11.48,9.79,5.89,2.12,7.13
2016-07-02,38.97,5.88,3.62,11.03,6.18,5.02,11.48,9.79,5.89,8.47,14.25
2016-07-09,19.48,5.88,3.62,11.03,3.09,20.07,2.87,19.57,11.79,2.12,7.13
2016-07-16,38.97,2.94,3.62,11.03,3.09,5.02,11.48,9.79,11.79,8.47,3.56
2016-07-23,38.97,5.88,7.23,11.03,12.36,5.02,2.87,19.57,23.57,2.12,7.13
2016-07-30,38.97,5.88,7.23,5.51,3.09,10.04,11.48,9.79,11.79,4.23,7.13
2016-08-06,19.48,5.88,1.81,5.51,3.09,10.04,11.48,19.57,11.79,8.47,7.13
2016-08-13,38.97,11.76,3.62,11.03,6.18,10.04,5.74,19.57,23.57,4.23,3.56
2016-08-20,77.93,11.76,7.23,11.03,6.18,20.07,11.48,9.79,11.79,4.23,3.56
2016-08-27,38.97,5.88,3.62,11.03,3.09,20.07,5.74,9.79,11.79,8.47,7.13
2016-09-03,38.97,11.76,1.81,11.03,6.18,5.02,5.74,19.57,11.79,4.23,7.13
2016-09-10,19.48,11.76,1.81,11.03,6.18,10.04,5.74,39.14,11.79,8.47,14.25
2016-09-17,19.48,2.94,7.23,22.06,3.09,10.04,5.74,19.57,23.57,4.23,7.13
2016-09-24,38.97,5.88,7.23,11.03,3.09,5.02,11.48,19.57,23.57,8.47,14.25
2016-10-01,19.48,11.76,3.62,22.06,6.18,20.07,5.74,19.57,11.79,4.23,3.56
2016-10-08,38.97,5.88,7.23,11.03,3.09,20.07,5.74,9.79,11.79,4.23,7.13
2016-10-15,116.9,2.94,3.62,11.03,12.36,20.07,5.74,39.14,5.89,2.12,7.13
2016-10-22,155.86,2.94,3.62,11.03,6.18,20.07,5.74,39.14,11.79,4.23,7.13
2016-10-29,155.86,5.88,3.62,22.06,12.36,10.04,5.74,39.14,11.79,4.23,7.13
2016-11-05,155.86,11.76,10.85,11.03,6.18,10.04,5.74,39.14,11.79,4.23,7.13
2016-11-12,194.83,5.88,10.85,11.03,6.18,10.04,5.74,9.79,11.79,8.47,21.38
2016-11-19,155.86,17.63,14.47,11.03,6.18,10.04,11.48,9.79,5.89,8.47,7.13
2016-11-26,194.83,29.39,7.23,11.03,18.54,10.04,11.48,39.14,23.57,38.1,14.25
2016-12-03,233.79,47.02,14.47,33.09,18.54,5.02,11.48,9.79,23.57,42.33,14.25
2016-12-10,623.44,41.14,18.09,44.12,18.54,20.07,5.74,39.14,35.36,71.97,14.25
2016-12-17,701.37,47.02,21.7,44.12,30.9,20.07,11.48,78.28,23.57,101.6,28.51
2016-12-24,1363.78,94.04,43.41,132.35,49.44,10.04,17.21,195.71,35.36,220.13,57.01
2016-12-31,3078.25,129.31,79.58,176.47,92.7,50.19,45.9,508.85,94.29,478.37,149.66
2017-01-07,4792.72,211.59,101.28,220.58,111.24,60.22,63.12,508.85,176.79,537.64,78.39
2017-01-14,4208.24,176.33,137.45,209.56,74.16,80.3,63.12,547.99,117.86,491.07,114.02
2017-01-21,2883.42,170.45,245.97,264.7,160.69,160.6,149.19,743.71,212.15,351.37,156.78
2017-01-28,1909.29,182.21,231.5,154.41,241.03,200.75,212.3,724.13,223.93,198.97,142.53
2017-02-04,1870.33,235.1,274.91,176.47,259.57,160.6,218.04,861.13,353.58,211.67,156.78
2017-02-11,1246.89,235.1,296.61,341.91,414.08,321.19,304.11,1174.27,542.15,215.9,277.93
2017-02-18,740.34,305.64,325.55,408.08,494.42,521.94,395.92,1487.41,636.44,67.73,292.19
2017-02-25,584.48,240.98,325.55,441.17,661.29,772.87,355.75,1604.84,742.51,71.97,270.81
2017-03-04,506.55,229.23,166.39,165.44,346.09,391.45,240.99,861.13,483.22,42.33,206.67
2017-03-11,467.58,211.59,133.84,220.58,253.39,321.19,240.99,587.14,436.08,33.87,178.16
2017-03-18,233.79,193.96,130.22,231.61,234.85,421.56,263.94,430.57,412.51,29.63,185.29
2017-03-25,272.76,141.06,115.75,253.67,290.47,521.94,321.32,567.57,530.37,33.87,220.92
2017-04-01,272.76,146.94,79.58,198.53,339.91,341.27,321.32,547.99,377.15,50.8,156.78
2017-04-08,311.72,94.04,170.01,121.32,203.95,301.12,195.09,430.57,259.29,16.93,128.28
2017-04-15,194.83,70.53,101.28,55.15,117.42,220.82,149.19,469.71,141.43,33.87,57.01
2017-04-22,194.83,64.65,97.66,33.09,80.34,80.3,74.59,274.0,94.29,21.17,64.14
2017-04-29,233.79,47.02,43.41,22.06,30.9,20.07,45.9,195.71,129.65,29.63,21.38
2017-05-06,77.93,5.88,3.62,11.03,12.36,20.07,2.87,9.79,11.79,8.47,7.13
2017-05-13,19.48,5.88,7.23,22.06,3.09,5.02,5.74,19.57,5.89,4.23,3.56
2017-05-20,38.97,5.88,1.81,11.03,6.18,5.02,5.74,19.57,11.79,4.23,7.13
2017-05-27,38.97,5.88,3.62,22.06,6.18,5.02,5.74,19.57,11.79,2.12,14.25
2017-06-03,19.48,11.76,3.62,5.51,6.18,10.04,11.48,9.79,11.79,4.23,7.13
2017-06-10,38.97,5.88,1.81,5.51,3.09,20.07,2.87,9.79,5.89,4.23,7.13
2017-06-17,38.97,2.94,1.81,5.51,6.18,5.02,5.74,39.14,5.89,2.12,3.56
2017-06-24,38.97,2.94,1.81,22.06,6.18,10.04,11.48,39.14,11.79,4.23,7.13
2017-07-01,38.97,5.88,1.81,11.03,3.09,5.02,5.74,19.57,5.89,8.47,7.13
2017-07-08,38.97,5.88,7.23,5.51,6.18,10.04,11.48,39.14,11.79,4.23,14.25
2017-07-15,38.97,5.88,7.23,5.51,6.18,10.04,2.87,19.57,5.89,2.12,7.13
2017-07-22,19.48,11.76,1.81,11.03,3.09,10.04,2.87,9.79,23.57,4.23,7.13
2017-07-29,19.48,2.94,7.23,22.06,6.18,10.04,11.48,9.79,11.79,2.12,14.25
2017-08-05,19.48,5.88,3.62,11.03,6.18,10.04,11.48,19.57,5.89,8.47,3.56
2017-08-12,38.97,5.88,1.81,11.03,12.36,5.02,5.74,19.57,5.89,4.23,3.56
2017-08-19,38.97,11.76,1.81,11.03,6.18,10.04,5.74,19.57,5.89,2.12,7.13
2017-08-26,38.97,11.76,3.62,5.51,12.36,5.02,2.87,9.79,11.79,4.23,7.13
