date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-04-23,0.572695,0.281126,1.82536,1.282103,0.390881,3.135905,1.436032,1.773623,0.149572,0.730261,0.432962,0.500366,0.878316,0.90742,0.936776,0.656204,0.960071,1.757751,0.939876,1.516746,0.750025,2.622279,1.405492,0.577271,0.580739,1.184193,1.875732,0.8157,2.495626,2.437814,1.393971,2.047542,1.510898,0.452977,0.777141,1.038359,1.999367,0.636993,1.680896,3.755677,0.917103,0.705294,0.551598,0.540494,1.176683,0.266569,1.391229,0.570838,0.439513,2.478905,0.916649,0.172836
2022-04-30,0.31597,0.140563,2.234023,1.150605,0.55289,2.84299,1.574112,0.886811,0.448715,0.79337,0.340842,0.285923,0.774985,0.835781,1.083148,0.531213,0.78863,2.180501,0.371579,2.16678,0.880464,2.808561,1.355652,0.507299,0.92235,0.940865,1.60777,0.8157,1.64269,2.222713,1.426389,2.476097,1.424415,0.603969,0.38857,0.910692,1.19962,0.589808,1.364764,1.645049,0.458552,0.743418,0.992876,0.696953,0.675256,0.088856,0.927486,0.768884,0.542928,2.140873,1.086399,0.86418
2022-05-07,0.434458,0.843377,2.41111,0.657489,0.547747,4.479864,2.098816,0.591208,0.299143,1.018759,0.396114,0.142962,0.671654,0.923339,0.761131,0.624956,0.514324,1.335001,0.502724,0.577808,0.79894,2.60795,1.704533,0.559778,0.785706,1.103084,1.786411,0.305888,1.453149,1.64911,1.339941,3.428442,1.231102,0.509599,0.129523,0.885159,0.924707,0.684178,1.210553,1.055314,0.550262,0.457488,0.330959,0.312918,0.521485,0.414663,1.082067,0.570838,0.775611,1.239453,0.865724,0.691344
2022-05-14,0.296222,0.421688,2.751662,0.756112,0.732901,3.032523,1.93312,0.591208,0.747858,1.298242,0.432962,0.214442,0.929982,1.026817,0.556211,0.531213,0.342882,1.023501,0.459009,2.672362,0.961988,2.421668,1.794245,0.297382,0.888189,0.648873,0.803885,0.203925,2.306084,1.290608,1.069792,1.809456,0.976742,0.415229,0.129523,0.697914,1.274597,0.613401,1.418738,0.962198,0.733682,0.648108,1.213515,0.497823,0.55157,0.385044,0.463743,0.547539,0.736831,1.35213,0.611099,0.691344
2022-05-21,0.276473,2.53013,3.187569,0.558865,0.930913,2.08486,2.0712,0.394138,0.598287,1.730989,0.405326,0.786289,0.723319,0.803942,0.687945,0.343726,0.240018,1.001251,0.459009,2.672362,0.79894,2.206727,1.445364,0.22741,1.058995,0.583985,0.982526,0.356869,2.685167,1.075506,0.961732,3.095122,0.986916,0.490725,0.129523,0.587269,0.799747,0.849324,1.233685,0.838044,0.550262,0.838728,0.661917,0.270247,0.50477,0.23695,0.077224,0.47764,0.69805,0.90142,0.44135,1.037016
2022-05-28,0.394962,0.562251,2.73804,0.558865,1.067207,1.550722,0.994176,0.295604,0.598287,2.375602,0.571141,0.643327,0.206663,0.405951,0.497662,0.187487,0.102865,0.60075,0.196718,1.08339,0.521756,1.289645,0.927027,0.209917,0.683222,0.405545,1.250488,0.152944,2.527216,0.717004,0.842866,2.523715,0.829213,0.405792,0.063782,0.417046,0.974692,0.778547,0.663106,0.775966,0.641972,0.648108,0.441278,0.327141,0.467999,0.029619,0.309162,0.48929,0.866099,0.45071,0.458325,1.037016
2022-06-04,0.375214,0.281126,2.942371,0.624614,1.144355,1.309499,0.55232,0.886811,0.747858,3.074308,0.598777,0.285923,0.619988,0.326353,0.40984,0.187487,0.102865,0.5785,0.262291,0.866712,0.309793,0.71647,0.697762,0.104958,0.785706,0.502876,2.054373,0.305888,1.958592,0.573603,0.572717,2.618949,0.630812,0.245363,0.38857,0.391513,0.899715,0.684178,0.508895,0.93116,0.550262,0.66717,0.11032,0.355588,0.404485,0.177713,0.077224,0.524239,0.840246,0.394371,0.2716,1.209852
2022-06-11,0.375214,0.843377,1.321343,0.723237,1.051778,0.67198,0.994176,0.591208,0.299143,2.569437,0.386902,0.214442,0.36166,0.135317,0.161008,0.28123,0.102865,0.5785,0.524582,1.227842,0.309793,0.71647,0.348881,0.069972,0.512417,0.291993,0.893206,0.458831,2.590396,0.286802,0.529493,1.476135,0.529068,0.424666,0.259047,0.195756,0.674786,0.424662,0.43179,0.620773,0.09171,0.629046,0.11032,0.28447,0.354342,0.088856,0.463743,0.47764,0.736831,0.732404,0.254625,1.209852
2022-06-18,0.335718,0.140563,0.776459,0.427368,0.810049,0.482447,0.386624,0.197069,0.299143,2.190783,0.331631,0.285923,0.36166,0.198996,0.30738,0.187487,0.034288,0.15575,0.306006,0.216678,0.358708,0.2436,0.229265,0.174931,0.478256,0.405545,0.089321,0.152944,1.769051,0.143401,0.497075,0.809493,0.468022,0.594532,0.063782,0.195756,0.699779,0.283108,0.362395,0.962198,0.183421,0.457488,0.220639,0.412482,0.45797,0.059238,0.309162,0.419391,0.568782,0.45071,0.152775,0.691344
2022-06-25,0.296222,0.421688,0.517639,0.525991,0.640324,0.155072,0.165696,0.295604,0.448715,1.437983,0.230299,0.428885,0.103331,0.159196,0.336654,0.187487,0.137153,0.356,0.196718,0.36113,0.358708,0.257929,0.159488,0.008714,0.785706,0.324436,0.044138,0.305888,0.947706,0.0717,0.270149,0.333321,0.335755,0.566221,0.063782,0.119156,0.699779,0.188739,0.308421,0.527657,0.09171,0.648108,0.330959,0.312918,0.41117,0.118475,0.077224,0.51259,0.827319,0.338033,0.118825,0.085608
