REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Tennessee,2024,43,X,X,X,X,X,X
States,Texas,2024,43,5084,100,4,2.05,1.97,0.08
States,Utah,2024,43,X,X,X,X,X,X
States,Vermont,2024,43,442,3,0,0.68,0.68,0
States,Virginia,2024,43,605,0,0,0,0,0
States,Washington,2024,43,2225,33,6,1.75,1.48,0.27
States,West Virginia,2024,43,429,2,1,0.7,0.47,0.23
States,Wisconsin,2024,43,7187,12,9,0.29,0.17,0.13
States,Wyoming,2024,43,X,X,X,X,X,X
States,Puerto Rico,2024,43,X,X,X,X,X,X
States,Virgin Islands,2024,43,X,X,X,X,X,X
States,New York City,2024,43,X,X,X,X,X,X
