REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Oklahoma,2024,42,X,0.958343,X,X,X,X,X,X,199,37,20765
States,Oregon,2024,42,X,1.13276,X,X,X,X,X,X,389,83,34341
States,Pennsylvania,2024,42,X,1.49093,X,X,X,X,X,X,873,88,58554
States,Rhode Island,2024,42,X,1.47725,X,X,X,X,X,X,186,21,12591
States,South Carolina,2024,42,X,2.30409,X,X,X,X,X,X,713,38,30945
States,South Dakota,2024,42,X,0.860966,X,X,X,X,X,X,74,32,8595
States,Tennessee,2024,42,X,1.85118,X,X,X,X,X,X,565,91,30521
States,Texas,2024,42,X,2.65664,X,X,X,X,X,X,1403,48,52811
States,Utah,2024,42,X,0.465238,X,X,X,X,X,X,71,47,15261
States,Vermont,2024,42,X,0.95339,X,X,X,X,X,X,54,13,5664
States,Virginia,2024,42,X,3.07515,X,X,X,X,X,X,3630,198,118043
States,Washington,2024,42,X,0.950431,X,X,X,X,X,X,933,152,98166
States,West Virginia,2024,42,X,1.65361,X,X,X,X,X,X,228,39,13788
States,Wisconsin,2024,42,X,1.52746,X,X,X,X,X,X,423,61,27693
States,Wyoming,2024,42,X,1.54597,X,X,X,X,X,X,38,14,2458
States,Commonwealth of the Northern Mariana Islands,2024,42,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2024,42,X,2.66739,X,X,X,X,X,X,49,6,1837
States,Virgin Islands,2024,42,X,1.12613,X,X,X,X,X,X,10,3,888
States,New York City,2024,42,X,4.28355,X,X,X,X,X,X,4740,102,110656
States,Alabama,2024,43,X,2.11134,X,X,X,X,X,X,966,101,45753
States,Alaska,2024,43,X,1.59113,X,X,X,X,X,X,66,12,4148
States,Arizona,2024,43,X,1.80043,X,X,X,X,X,X,1337,119,74260
States,Arkansas,2024,43,X,1.74069,X,X,X,X,X,X,252,47,14477
States,California,2024,43,X,2.58633,X,X,X,X,X,X,7349,190,284148
States,Colorado,2024,43,X,1.93542,X,X,X,X,X,X,977,97,50480
States,Connecticut,2024,43,X,2.38006,X,X,X,X,X,X,1011,68,42478
